objectid,filename,title,creator,date,description,subject,location,format original,format,type,language,rights,rightsstatement
lhs1952_001,lhs1952_001.jpg,1952 LHS Yearbook - Cover,London High School,1952,Front cover from the 1952 London High School yearbook.,,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_002,lhs1952_002.jpg,1952 LHS Yearbook - Inside Cover,London High School,1952,Inside cover from the 1952 London High School yearbook.,,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_003,lhs1952_003.jpg,1952 LHS Yearbook - p. 1,London High School,1952,Forward from the 1952 London High School yearbook.,,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_004,lhs1952_004.jpg,"1952 LHS Yearbook - p. 2, 3",London High School,1952,Image of London High School. ,,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_005,lhs1952_005.jpg,"1952 LHS Yearbook - p. 4, 5",London High School,1952,Image of London High School and faculty title page. ,Faculty,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_006,lhs1952_006.jpg,"1952 LHS Yearbook - p. 6, 7",London High School,1952,Board of Education and administrative staff.,Faculty,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_007,lhs1952_007.jpg,"1952 LHS Yearbook - p. 8, 9",London High School,1952,Images and names teachers.,Faculty,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_008,lhs1952_008.jpg,"1952 LHS Yearbook - p. 10, 11",London High School,1952,"Images and names of secretaries, cafeteria workers, bus drivers, and custodians.",Faculty,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_009,lhs1952_009.jpg,"1952 LHS Yearbook - p. 12, 13",London High School,1952,Senior introduction and senior names and images.,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_010,lhs1952_010.jpg,"1952 LHS Yearbook - p. 14, 15",London High School,1952,Senior names and images. ,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
